Id,SalePrice
2658,119696.47240287559
2718,183920.4510322903
2414,220116.48507102267
1989,100713.83615244618
625,180078.47773502476
333,89467.46116927305
1327,96664.17416376786
858,144689.07869726358
95,183744.15583549184
1568,154303.3279272938
2482,157631.6217847247
1364,108013.0126980035
2584,160493.89923955037
818,305176.27035559167
2673,140938.01351033853
2089,100184.58517279115
1297,143627.51877531115
790,118440.90433501016
2616,201002.3961160567
720,170461.4444454991
222,163359.52161637868
557,130577.66785842879
1148,205006.02108475266
2766,180405.46691271072
534,166171.05729052555
1452,117923.47896942875
630,145775.5277499531
2648,106490.89827719022
125,163119.94694457692
1904,74536.94023122865
1670,110667.9019847376
756,88670.38787498133
717,198580.1607436008
1032,149646.42048374147
852,210198.59752059358
1731,173861.81867751185
2639,102803.56501504293
2071,86382.76033287875
1267,115166.28477590356
1851,186074.12908936158
567,163448.34200674066
2439,201841.06126961033
1898,147581.09655921627
647,120263.28532579796
2256,234707.8244761998
979,87022.49031949762
1444,225904.8851843407
2485,118967.06407349714
157,129975.37814853167
88,122629.72645668144
2003,102102.7036170545
186,194600.0873585125
1425,257549.2139824434
2695,113260.31311228537
738,113326.58782663666
395,144736.05713029494
1353,173078.86253687588
1878,138918.78267803707
390,160667.99480103637
1456,232159.53594512958
1103,333624.4320210184
1387,114096.69431420049
2070,141828.0360888417
1199,156271.56631495972
2479,173203.74898554265
501,343788.88402473176
2362,94548.4857755255
1718,209376.57506737055
2188,86420.8928216593
1483,157802.54558103165
2557,110335.42900610584
437,336860.74573346204
2224,186308.4074694535
1628,169717.97184038936
397,141064.97463543777
587,197410.92983825604
971,115083.18554274338
2611,136045.15786701752
1887,99661.22778371467
2399,357436.08688913094
2148,201280.45346322385
304,107674.87584755705
1997,130480.62071301082
2817,131558.71624419827
1431,200644.65324101204
427,350860.51601496834
263,124858.58905052509
598,167364.5332324662
2895,229311.7156067206
687,117180.41156158554
1822,140590.13101530226
2191,100077.78374042963
179,104022.80802620914
1009,231388.00372661965
2010,123825.41270917782
1991,127503.98981331952
1411,155824.68298639898
1721,245692.49566594503
1144,182783.64740461647
593,204037.13784256563
575,319827.7788416959
1249,167953.77505308157
1604,125704.47006463775
1064,548859.4798161112
1923,157183.76643752167
1988,99396.41058781187
2325,168933.75757992634
114,201498.95826375353
2700,178446.8567687959
217,142906.28765706092
343,180651.37840991447
386,213643.74992732052
2005,107086.91752777078
2908,125093.30407121828
1814,227572.8231357309
2446,601687.3068191509
208,134510.2948684342
1679,109161.70888730811
822,324280.8045773836
